waveform_index,scheduled_s,completed_s,late_s,points_returned,points_saved
49,73945.810589653,73958.890142442,12.862224779993994,10000,2500
50,73945.81068965301,73959.113244032,13.079458791995421,10000,2500
51,73945.810789653,73959.361122746,13.302466348002781,10000,2500
52,73945.810889653,73959.562489199,13.550246507002157,10000,2500
53,73945.81098965301,73959.812680704,13.751505599997472,10000,2500
54,73945.811089653,73960.199928522,14.001604521006811,10000,2500
55,73945.811189653,73960.471159663,14.38874470499286,10000,2500
56,73945.81128965301,73960.704912585,14.659876041987445,10000,2500
57,73945.811389653,73961.022894336,14.89353525399929,10000,2500
58,73945.811489653,73961.256913761,15.21141649899073,10000,2500
59,73945.811589653,73961.518832568,15.445336704986403,10000,2500
60,73945.811689653,73961.828224714,15.707155379001051,10000,2500
61,73945.811789653,73962.044285914,16.01644665999629,10000,2500
62,73945.811889653,73962.381521458,16.232407649993547,10000,2500
63,73945.811989653,73962.631646478,16.56954513301025,10000,2500
64,73945.812089653,73962.840693812,16.81956963900302,10000,2500
65,73945.812189653,73963.157432167,17.02851641899906,10000,2500
66,73945.812289653,73963.386717181,17.3451545870048,10000,2500
67,73945.812389653,73963.697285494,17.574339483995573,10000,2500
68,73945.812489653,73963.920008174,17.884807693990297,10000,2500
69,73945.812589653,73964.213682313,18.10743198399723,10000,2500
70,73945.812689653,73964.516153907,18.401007870998,10000,2500
71,73945.812789653,73964.745675094,18.703377145997365,10000,2500
72,73945.812889653,73964.964176749,18.932798181005637,10000,2500
73,73945.812989653,73965.340581933,19.151199116997304,10000,2500
74,73945.813089653,73965.62989404,19.527498673996888,10000,2500
75,73945.81318965301,73965.882189235,19.81671667098999,10000,2500
76,73945.813289653,73966.123979238,20.068913492999854,10000,2500
77,73945.813389653,73966.381417352,20.310603185993386,10000,2500
78,73945.81348965301,73966.598724609,20.567940323991934,10000,2500
79,73945.813589653,73966.938920555,20.785148362003383,10000,2500
80,73945.813689653,73967.561113753,21.1252434719936,10000,2500
81,73945.81378965301,73967.775229023,21.74733734098845,10000,2500
82,73945.813889653,73968.138394488,21.96135203599988,10000,2500
83,73945.813989653,73968.410911587,22.324410728993826,10000,2500
